path,artifact_type,canonical_status,used_by_final_manuscript,source_artifact,generation_script,generation_command,verification_command,sha256,bytes,notes
paper/figures/validation/Figure_2_Retained_vs_Holdout_Retrieval_publication.tiff,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,3ef26c83504f472affc87493f741d45b043ad31569f353966538999564b31237,96036830,Publication-quality validation figure artifact.
paper/figures/validation/figure_1_plot_data.csv,validation_figure_source_data,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,c33b1d64fe1f851560db785f904ba4dd9b11f34046170d852fab0c068295f12f,3521,Publication-quality validation figure artifact.
paper/figures/validation/figure_2_plot_data.csv,validation_figure_source_data,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,20b3f1229067aa16c0db11bb7cc5f9053d7a21856ed7337c280c3b20c8e75c84,3379,Publication-quality validation figure artifact.
paper/tables/table1_retained_ablations.csv,paper_table,derived_paper_output,yes,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,909daa82408a3611d8a638ed1997a426a59e96e00e2ef07ffb16a4fc9693c3d7,1159,Table-ready canonical-report export.
paper/tables/table2_lexical_references.csv,paper_table,derived_paper_output,yes,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,bb3b7a90fb1bc2cc3f1b6e7f314507ee6fd2eef1eed85010a5f6687c91f31b87,558,Table-ready canonical-report export.
paper/tables/table3_family_holdout.csv,paper_table,derived_paper_output,yes,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,3a3c1fe457a3548e0839e8e858f78b33dba67945086e565c70b7f623d851d265,1544,Table-ready canonical-report export.
paper/tables/table4_paired_alignment.csv,paper_table,derived_paper_output,yes,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,8c15821ebe4f1610e945070287196c09be35f727e658584a6719fa54ec1f6152,3744,Table-ready canonical-report export.
paper/tables/table5_case_study_prompts.csv,paper_table,derived_paper_output,yes,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,f0ca3c3ac5317642631b19308e2ea7646441bba4d962e7d023f424067cd6328f,841,Table-ready canonical-report export.
paper/tables/table_manifest.csv,paper_table_manifest,audit_only,no,results/dsh_validation/canonical_reports/,tools/export_paper_tables.py,python3 tools/export_paper_tables.py,python3 -m unittest tests/test_paper_tables.py,8d97fd7248df3b48187e2e33a920526fd0f152a2e249ecb4926bf19b7bc17e20,4099,Table-ready canonical-report export.
results/dsh_validation/CANONICAL_VERIFICATION_REPORT.md,canonical_verification_report,audit_only,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/verify_canonical_evidence.py,python3 tools/verify_canonical_evidence.py,python3 tools/verify_canonical_evidence.py,8aa28d1ffbbbbdf01a3f8e7fb309076993177f5e04ec275849f198d57276e642,1205,Canonical validation artifact.
results/dsh_validation/canonical_reports/canonical_report_index.md,canonical_report_index,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,299ddf5d0fec4e8c6909d053438683de46ae7eeb10facb8b547a74e4983c6abb,410,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase1_ablation_summary.csv,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,909daa82408a3611d8a638ed1997a426a59e96e00e2ef07ffb16a4fc9693c3d7,1159,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase1_ablation_table.tex,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,a0580f21957709c7d58d1bb1abb911644dd3b93a27f2da61bcb6f54131156e44,1157,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase2_family_holdout_summary.csv,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,3a3c1fe457a3548e0839e8e858f78b33dba67945086e565c70b7f623d851d265,1544,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase2_family_holdout_table.tex,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,67d9db487d755b3227feecfa22a1d0a18ed3f987d642a422219c7b2781306ee7,1517,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase3_paired_alignment_summary.csv,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,8c15821ebe4f1610e945070287196c09be35f727e658584a6719fa54ec1f6152,3744,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase3_paired_alignment_table.tex,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,7357e7ece10ea08e43c1950054ee6048ee01e8fd60feee188c288f9ce8d9838b,3777,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase4_case_manifest_summary.csv,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,f0ca3c3ac5317642631b19308e2ea7646441bba4d962e7d023f424067cd6328f,841,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/phase4_case_table.tex,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,c7d50b33cc3274a84fbf4f5b3b6ce59e00af3a7695df3275fe377b78d6ae9404,1079,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/retained_lexical_reference_table.tex,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,240f5bddd50453d45ef820fece69e67de9c3a11a526b6c78021ebdc1fefaf687,564,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_reports/retained_lexical_references.csv,canonical_report_table,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/build_canonical_reports.py,python3 tools/build_canonical_reports.py,python3 tools/verify_canonical_evidence.py,bb3b7a90fb1bc2cc3f1b6e7f314507ee6fd2eef1eed85010a5f6687c91f31b87,558,Canonical report or table artifact supporting final manuscript tables.
results/dsh_validation/canonical_verification.json,canonical_verification_json,audit_only,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/phase3_controlled_alignment/; results/dsh_validation/phase4_case_studies/,tools/verify_canonical_evidence.py,python3 tools/verify_canonical_evidence.py,python3 tools/verify_canonical_evidence.py,9d2a2582460601f9d911f8a5e829fe2c77bf37e0849b16d5b988943c1800daf0,2373,Canonical validation artifact.
tractatus_structure_latents/data/tractatus.json,dataset_json,source_data,yes,Tractatus source corpus and dataset builder,tractatus_structure_latents/scripts/build_dataset.py,python3 -m tractatus_structure_latents.scripts.build_dataset,python3 tools/verify_canonical_evidence.py,25e05a4c98259f2824a1b8cb2c2cac60578c73dce1de8500eb480226fbb62ca0,281187,Retained generated dataset used by canonical empirical scripts.
tractatus_structure_latents/data/tractatus_bilingual.json,dataset_json,source_data,yes,Tractatus source corpus and dataset builder,tractatus_structure_latents/scripts/build_dataset.py,python3 -m tractatus_structure_latents.scripts.build_dataset,python3 tools/verify_canonical_evidence.py,28174929711adbe00ae0b2416c6e0789261b6c1cd7c569ba6ee94c4578a30db8,423560,Retained generated dataset used by canonical empirical scripts.
